Wavenumber	B4C	Si	SiB6	SiC
1710.712891	0.072975	0.586356	0.317901	468031.2813
1708.205078	0.069061	0.580501	0.332013	466715.0313
1705.697266	0.072089	0.567448	0.34362	464899.1563
1703.1875	0.074952	0.567561	0.33978	463311.4688
1700.677734	0.072527	0.576285	0.338098	460667.8438
1698.167969	0.06861	0.574965	0.330262	459170.875
1695.65625	0.062277	0.579136	0.324527	457838.9688
1693.144531	0.061492	0.584842	0.328869	454247.75
1690.630859	0.061785	0.578808	0.324599	454093.9688
1688.117188	0.063735	0.58031	0.329732	452851.125
1685.603516	0.067812	0.576913	0.328066	450680.3125
1683.087891	0.072518	0.584595	0.330086	449596.1563
1680.572266	0.071256	0.594068	0.32945	447708.6875
1678.056641	0.072616	0.589419	0.328178	444392.8125
1675.539063	0.07176	0.592316	0.324298	443383.8125
1673.019531	0.071047	0.585152	0.33224	441278.3438
1670.501953	0.068218	0.576623	0.339214	439509.5313
1667.982422	0.0652	0.572648	0.339123	438657.4688
1665.460938	0.062838	0.572898	0.339251	436988.5938
1662.939453	0.06518	0.57878	0.339951	436492.6563
1660.417969	0.061766	0.580356	0.337671	433340.3438
1657.894531	0.062169	0.576603	0.336651	432054.875
1655.371094	0.066951	0.581468	0.332911	431790.5313
1652.847656	0.066673	0.577642	0.331985	431172.7188
1650.322266	0.065695	0.57969	0.33798	429908.6875
1647.796875	0.068913	0.578482	0.337062	428296.9375
1645.269531	0.072404	0.583687	0.331036	426830.5625
1642.742188	0.073959	0.589785	0.319961	423823.8438
1640.214844	0.072631	0.590617	0.305479	424626.125
1637.685547	0.074477	0.593914	0.307661	422404.7188
1635.15625	0.078542	0.597416	0.30408	422788.75
1632.625	0.078113	0.598293	0.306661	421266.625
1630.095703	0.076643	0.588972	0.3249	420910.8438
1627.5625	0.080044	0.578341	0.338466	420737.875
1625.029297	0.080913	0.575107	0.342065	419460.4063
1622.496094	0.08188	0.576717	0.343222	417952.7188
1619.962891	0.083597	0.58004	0.334518	418176.1875
1617.427734	0.085371	0.592208	0.332014	416161.7813
1614.892578	0.086759	0.596803	0.323687	415884.6875
1612.355469	0.087535	0.600036	0.316982	414636.875
1609.818359	0.086464	0.591521	0.324043	413274.5
1607.279297	0.090265	0.585349	0.331302	411291.3438
1604.740234	0.093728	0.580601	0.341628	410316.6563
1602.201172	0.096744	0.580286	0.354523	410387.9375
1599.660156	0.097454	0.580913	0.359826	408072.6563
1597.119141	0.097726	0.58555	0.357273	406723.8438
1594.578125	0.099658	0.589104	0.350955	404506.3438
1592.035156	0.100216	0.594226	0.337797	403633.1875
1589.492188	0.099793	0.596659	0.326018	403245.0938
1586.947266	0.101444	0.593854	0.324544	402210.5938
1584.402344	0.104739	0.591929	0.317023	400682.5625
1581.857422	0.108328	0.593094	0.325213	400976.0313
1579.310547	0.111717	0.58545	0.33069	399980.2813
1576.761719	0.115903	0.578151	0.339516	397843.7188
1574.214844	0.122096	0.579161	0.332976	396332.3438
1571.666016	0.125495	0.576794	0.334528	395332.8438
1569.115234	0.122678	0.573989	0.31649	393614.1563
1566.566406	0.120587	0.570782	0.31778	392946.3125
1564.013672	0.122084	0.569445	0.308912	391477.2188
1561.462891	0.126321	0.572195	0.312398	389427.0625
1558.910156	0.127766	0.571951	0.314234	389321.0625
1556.355469	0.12668	0.578605	0.32776	388204.6875
1553.800781	0.125104	0.587244	0.330004	386751.3125
1551.246094	0.122807	0.590859	0.338789	386423.9375
1548.691406	0.111997	0.592643	0.328946	385261.375
1546.134766	0.104633	0.588508	0.329106	385177.0313
1543.576172	0.099434	0.585627	0.325827	385134.6875
1541.017578	0.09793	0.577354	0.317151	383056.75
1538.458984	0.094089	0.568205	0.312286	382994.4688
1535.898438	0.090163	0.561496	0.317652	381606.8438
1533.337891	0.086242	0.56712	0.32708	380007.1875
1530.777344	0.085598	0.570047	0.332065	378279.5938
1528.214844	0.082652	0.574642	0.329085	378819.625
1525.652344	0.079801	0.581163	0.322783	377294.2813
1523.087891	0.079253	0.584892	0.330372	376571.375
1520.523438	0.078316	0.580941	0.322595	375698.6875
1517.958984	0.076767	0.576354	0.316114	374299.2813
1515.392578	0.074029	0.574179	0.320346	372887.0313
